screen,double,cos_ab,triage_score,triage_rank,unreachable_fraction,double_effect_norm,emergence_z,p_value,floor_ratio,ci_low,ci_high,geometry_status,bar_a_p_lt_0p05,bar_b_floor_ge_1p9,certified_emergent
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+RING1,-0.1409,0.1409,1,0.89,3.7207,17.053,0.004975124378109453,1.35,0.899,0.9115,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+MED24,-0.1048,0.1048,2,0.4403,8.7637,53.375,0.004975124378109453,2.657,0.4546,0.4655,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+INTS1,-0.1045,0.1045,3,0.5441,8.4829,31.074,0.004975124378109453,2.377,0.5481,0.5868,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+SMARCD1,-0.103,0.103,4,0.8228,4.5065,64.171,0.004975124378109453,2.873,0.8253,0.8317,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+RING1,-0.1009,0.1009,5,0.5765,8.1314,43.003,0.004975124378109453,2.257,0.595,0.6075,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+INTS1,-0.093,0.093,6,0.6437,5.8487,51.555,0.004975124378109453,2.626,0.6456,0.6725,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+RING1,-0.0818,0.0818,7,0.5804,7.0998,43.557,0.004975124378109453,2.241,0.5994,0.6134,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+INTS1,-0.0522,0.0522,8,0.8209,3.7777,45.856,0.004975124378109453,2.223,0.8232,0.8379,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,MED24+RING1,-0.0137,0.0137,9,0.4038,9.3426,29.54,0.004975124378109453,1.819,0.4356,0.4533,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+INTS1,-0.0069,0.0069,10,0.794,4.5669,59.433,0.004975124378109453,2.778,0.7979,0.8051,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,RCOR1+RING1,-0.0007,0.0007,11,0.8716,3.9085,8.825,0.004975124378109453,1.142,0.8953,0.9147,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+HDAC3,0.0016,-0.0016,12,0.6606,5.5875,40.033,0.004975124378109453,2.112,0.6769,0.6932,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+SSRP1,0.0106,-0.0106,13,0.8033,4.5244,51.872,0.004975124378109453,2.391,0.8074,0.8177,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+INTS1,0.0143,-0.0143,14,0.8476,4.0854,43.517,0.004975124378109453,2.204,0.8512,0.8613,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,RING1+SMARCD1,0.0185,-0.0185,15,0.7537,5.0898,25.659,0.004975124378109453,1.617,0.775,0.792,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,RING1+SSRP1,0.0323,-0.0323,16,0.8238,5.9084,3.029,0.009950248756218905,1.052,0.8738,0.8984,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+INTS1,0.0328,-0.0328,17,0.5978,7.7204,72.04,0.004975124378109453,2.982,0.6079,0.6157,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+RCOR1,0.0416,-0.0416,18,0.8454,4.0879,43.742,0.004975124378109453,2.227,0.8492,0.8568,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+RING1,0.0442,-0.0442,19,0.7324,4.9212,25.87,0.004975124378109453,1.679,0.7507,0.7732,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+RING1,0.0464,-0.0464,20,0.5857,7.9268,52.149,0.004975124378109453,2.589,0.5993,0.6094,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+MYB,0.0492,-0.0492,21,0.5926,10.4387,56.121,0.004975124378109453,2.562,0.6048,0.6189,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+VPRBP,0.0526,-0.0526,22,0.6816,6.3705,46.24,0.004975124378109453,2.799,0.68,0.7091,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+INTS1,0.055,-0.055,23,0.6281,6.6086,72.361,0.004975124378109453,3.168,0.6345,0.6448,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,RING1+VPRBP,0.0607,-0.0607,24,0.7239,6.1137,32.516,0.004975124378109453,1.849,0.7383,0.7575,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,MYB+RING1,0.0659,-0.0659,25,0.6245,10.0788,16.77,0.004975124378109453,1.39,0.6739,0.6979,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+KDM1A,0.0665,-0.0665,26,0.5334,8.4503,81.935,0.004975124378109453,3.902,0.5345,0.5517,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,KDM1A+RING1,0.0911,-0.0911,27,0.5166,8.831,37.079,0.004975124378109453,2.03,0.5403,0.5587,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+RING1,0.0914,-0.0914,28,0.7995,4.0905,3.554,0.004975124378109453,1.066,0.8546,0.8815,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+RING1,0.0954,-0.0954,29,0.5686,6.656,32.339,0.004975124378109453,1.899,0.5975,0.6132,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+HDAC3,0.1074,-0.1074,30,0.6223,7.7329,43.583,0.004975124378109453,2.27,0.6362,0.6567,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+RING1,0.1096,-0.1096,31,0.775,5.5364,33.984,0.004975124378109453,1.901,0.7863,0.8022,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+RCOR1,0.1161,-0.1161,32,0.8623,5.3086,5.958,0.004975124378109453,1.11,0.8936,0.9106,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+VPRBP,0.1175,-0.1175,33,0.7537,5.6414,20.952,0.004975124378109453,1.641,0.7637,0.8001,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+HDAC3,0.1221,-0.1221,34,0.7672,4.721,31.702,0.004975124378109453,1.72,0.785,0.7985,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,RCOR1+VPRBP,0.1398,-0.1398,35,0.6908,6.2189,28.302,0.004975124378109453,1.877,0.6918,0.7439,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+VPRBP,0.1422,-0.1422,36,0.5626,7.6857,25.669,0.004975124378109453,1.745,0.5945,0.6183,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+HDAC3,0.1434,-0.1434,37,0.7331,5.6359,33.795,0.004975124378109453,2.165,0.7344,0.7643,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+VPRBP,0.1519,-0.1519,38,0.7187,5.1872,34.337,0.004975124378109453,1.914,0.7293,0.7562,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+IKZF1,0.1564,-0.1564,39,0.808,5.5735,18.394,0.004975124378109453,1.515,0.8246,0.8433,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+SMARCD1,0.1569,-0.1569,40,0.772,5.8658,47.598,0.004975124378109453,2.468,0.7766,0.7883,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+INTS1,0.1664,-0.1664,41,0.7014,5.7035,87.873,0.004975124378109453,3.644,0.7039,0.7138,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+VPRBP,0.1666,-0.1666,42,0.5933,7.5034,32.121,0.004975124378109453,1.888,0.6197,0.6363,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,INTS1+RING1,0.1708,-0.1708,43,0.7951,4.5752,64.863,0.004975124378109453,2.827,0.7982,0.806,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+VPRBP,0.171,-0.171,44,0.6924,7.2435,19.646,0.004975124378109453,1.559,0.715,0.7536,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+RCOR1,0.1717,-0.1717,45,0.8093,3.8646,2.911,0.004975124378109453,1.051,0.8653,0.8893,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+HDAC3,0.1797,-0.1797,46,0.5871,9.6452,77.967,0.004975124378109453,3.219,0.5952,0.6039,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+VPRBP,0.1854,-0.1854,47,0.5569,9.2977,36.138,0.004975124378109453,2.056,0.5815,0.5934,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+VPRBP,0.1946,-0.1946,48,0.794,4.8388,18.42,0.004975124378109453,1.443,0.8132,0.8365,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+SMARCD1,0.1949,-0.1949,49,0.6284,7.2949,26.102,0.004975124378109453,1.755,0.6584,0.6745,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+IKZF1,0.1963,-0.1963,50,0.678,8.046,12.012,0.004975124378109453,1.294,0.7324,0.7526,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+IKZF1,0.1985,-0.1985,51,0.6031,7.5947,31.596,0.004975124378109453,1.951,0.6264,0.6456,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GSE1+IKZF1,0.2057,-0.2057,52,0.6898,5.9545,19.068,0.004975124378109453,1.49,0.7158,0.7545,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+GSE1,0.2141,-0.2141,53,0.5941,7.4747,23.455,0.004975124378109453,1.686,0.6301,0.6466,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,RCOR1+SMARCD1,0.2183,-0.2183,54,0.7334,5.2812,10.645,0.004975124378109453,1.335,0.7596,0.8061,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+RCOR1,0.2196,-0.2196,55,0.7678,4.3182,20.977,0.004975124378109453,1.54,0.7876,0.8072,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+IKZF1,0.2232,-0.2232,56,0.8149,4.3115,17.601,0.004975124378109453,1.401,0.8336,0.8543,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+IKZF1,0.2233,-0.2233,57,0.8017,4.4917,16.792,0.004975124378109453,1.353,0.8273,0.8463,outside_model_cone,True,False,False
