double,geneA,geneB,residual,residual_bias_corrected,CI_low,CI_high,pctile_CI_low,pctile_CI_high,se_boot,noise_floor,noise_floor_sd,floor_ratio,z,p,bar_a_significant,bar_b_floor_ratio_ge_1p9,effect_norm,nonadditivity
SET+CEBPE,SET,CEBPE,0.4976568029234397,0.4858972546471948,0.4783733235171034,0.49335455743714185,0.5019590484097376,0.5169402823297761,0.0037933445779847557,0.14316319285550838,0.005684163084517941,3.476150489502664,62.365137100564915,0.000999000999000999,True,True,4.595218200715199,1.3935634867946405
IRF1+SET,IRF1,SET,0.3553144534474412,0.3414112818948242,0.3331418211975837,0.3491374000011809,0.3614915068937016,0.3774870856972988,0.004058331320333627,0.11354453714258286,0.004893190557787354,3.1292958903100487,49.409462690981734,0.000999000999000999,True,True,7.197147349796735,0.4130335214977403
MAPK1+PRTG,MAPK1,PRTG,0.5309027157685648,0.511207619797084,0.4992112026632133,0.522067140679802,0.5397382908573277,0.5625942288739164,0.006028022062606032,0.20182518554651283,0.008717995586582511,2.6305077551692007,37.746925535099024,0.000999000999000999,True,True,3.7609102214949908,0.8935317396428176
CEBPE+RUNX1T1,CEBPE,RUNX1T1,0.27111153090979023,0.250140568792518,0.24172402113867664,0.25814502635948133,0.28407803546009913,0.30049904068090383,0.0042901235691213645,0.1156528375395916,0.004603038200137513,2.344183996497105,33.773061749857824,0.000999000999000999,True,True,4.206436298316927,0.9883294973477084
RHOXF2BB+SET,RHOXF2BB,SET,0.3691486791266877,0.34440803839900663,0.33509139946499755,0.3547628151970317,0.3835345430563437,0.40320595878837784,0.005101634086801614,0.15749826473808956,0.006477328041406181,2.343826960510076,32.6755744090198,0.000999000999000999,True,True,6.502214868457586,0.5243215420788517
TBX3+TBX2,TBX3,TBX2,0.23276561306458848,0.21685017606450704,0.2085850469621035,0.22481760520809335,0.24071362092108362,0.25694617916707346,0.003990738421306335,0.09139926261987759,0.004399553280413226,2.5466902729034318,32.13197827926592,0.000999000999000999,True,True,5.335828837189013,0.4078065695726302
ETS2+IKZF3,ETS2,IKZF3,0.22240849736183615,0.20371129317069742,0.19722426900037465,0.209863049672014,0.23495394505165831,0.24759272572329766,0.003325216013986573,0.09711373247681174,0.004052608913793248,2.290185864444471,30.917062946433767,0.000999000999000999,True,True,7.578277777534946,0.3348587154815234
CEBPE+KLF1,CEBPE,KLF1,0.4212619291197336,0.39329490849399906,0.38226000038409824,0.4047090438398392,0.437814814399628,0.46026385785536894,0.005851412261079987,0.18733974142317425,0.0075870641552530545,2.24865223961296,30.831713415076194,0.000999000999000999,True,True,3.632944100486114,1.5225406795577403
DUSP9+KLF1,DUSP9,KLF1,0.2617059697305517,0.24030393748715234,0.23086955300454626,0.24939530323205966,0.27401663622904376,0.29254238645655717,0.004815679603701491,0.11429247873714894,0.004893739638350346,2.289791704775481,30.122871645679766,0.000999000999000999,True,True,7.24793867751072,0.3246152254686778
UBASH3B+CNN1,UBASH3B,CNN1,0.22962491252880907,0.21038928595326253,0.20008920474466357,0.22069932001127682,0.23855050504634132,0.25916062031295456,0.005278045006581005,0.09991254105402556,0.0043069902113514824,2.298259158523897,30.11670914248057,0.000999000999000999,True,True,7.745509136694054,0.3452618537229792
CBL+CNN1,CBL,CNN1,0.26102878788776845,0.24022082102004738,0.22922064387344804,0.25074399961534016,0.27131357616019675,0.29283693190208887,0.005773633894111643,0.1123307930814116,0.004987133636860808,2.323750956681915,29.816324492951832,0.000999000999000999,True,True,7.905876862083403,0.3859203480869732
KLF1+COL2A1,KLF1,COL2A1,0.4372372952361258,0.41349763345003615,0.39939428144199907,0.4263562946267439,0.4481182958455077,0.47508030903025256,0.006699222585455594,0.17825638916870293,0.008708176045464623,2.4528562329528723,29.73997134592896,0.000999000999000999,True,True,5.340789350911535,0.6157331806969959
SET+KLF1,SET,KLF1,0.31517946796828655,0.29852093847953104,0.28807314901265574,0.30743509233460187,0.32292384360197124,0.34228578692391737,0.004817193794121497,0.11545106726083636,0.006896406068341466,2.7299831473727973,28.96122976637357,0.000999000999000999,True,True,5.16813994764143,0.6141816421121864
CEBPB+PTPN12,CEBPB,PTPN12,0.46161359752592857,0.43168168250403244,0.4200048477643026,0.4436265133668968,0.47960068168496034,0.5032223472875546,0.00599657348281195,0.21132101567819297,0.008685445590718256,2.184418790741049,28.81747162347226,0.000999000999000999,True,True,4.322557349507701,0.9682885805176682
LHX1+ELMSAN1,LHX1,ELMSAN1,0.33780915830581565,0.3115538691289122,0.30215870753143814,0.32189721159362883,0.35372110501800247,0.37345960908019316,0.0050341997273725654,0.15125281617817973,0.006498103734265606,2.2334073959182863,28.709351182544626,0.000999000999000999,True,True,4.243040978804997,0.4039049005165592
FOSB+OSR2,FOSB,OSR2,0.2679312320151424,0.24325307885396075,0.23406597335507917,0.251657034955338,0.28420542907494684,0.30179649067520564,0.004331689214186911,0.12596775265672439,0.005068503236791945,2.1269827107679196,28.00895505559,0.000999000999000999,True,True,6.85441016764687,0.3439114191188517
AHR+FEV,AHR,FEV,0.3328481382329308,0.30716112235799015,0.2975543893082587,0.3165216010136859,0.3491746754521757,0.3681418871576029,0.00490110052419973,0.14854606103984822,0.006685416109320361,2.2407065923050133,27.56777950382788,0.000999000999000999,True,True,8.864811271960816,0.4325056941641846
UBASH3B+OSR2,UBASH3B,OSR2,0.48983306964815426,0.4572381387995842,0.4436650283454805,0.4706323236371256,0.5090338156591829,0.536001110950828,0.007212068624336721,0.2356153224429145,0.009231913454810003,2.0789525255380297,27.536842546199072,0.000999000999000999,True,True,2.363077226986111,0.9681480713868034
IGDCC3+MAPK1,IGDCC3,MAPK1,0.5315770336275939,0.4996118866489976,0.4858682234398912,0.513704440982416,0.5494496262727718,0.5772858438152966,0.006838080920637503,0.255849657753176,0.010152663698851159,2.0776929634997536,27.15813150647532,0.000999000999000999,True,True,3.441598272944053,0.9655492760132108
CBL+UBASH3B,CBL,UBASH3B,0.242471766974555,0.2205075237501284,0.21068429611120454,0.2299666075015389,0.2549769264475711,0.27425923783790546,0.004995443730336097,0.11130129336313073,0.004945921719754404,2.178517065237225,26.52093604464441,0.000999000999000999,True,True,7.209457167581339,0.4444619447943593
MAPK1+IKZF3,MAPK1,IKZF3,0.3350572492976258,0.3064361963161208,0.29520266375920373,0.3172878431378058,0.35282665545744585,0.3749118348360479,0.0057879436147901765,0.1578240720627551,0.00669896490080376,2.122979371387643,26.456800395178337,0.000999000999000999,True,True,6.227350124242377,0.6235038220636588
