double,mlp_heldout_cos,additive_cos,cone_fit_insample_cos
AHR+FEV,0.881112,0.903053,0.942980
AHR+KLF1,0.866379,0.907276,0.963490
BCL2L11+BAK1,0.497304,0.489354,0.637139
BCL2L11+TGFBR2,0.841109,0.828129,0.892975
BPGM+SAMD1,0.943779,0.955766,0.967877
BPGM+ZBTB1,0.949594,0.962850,0.971312
C3orf72+FOXL2,0.814153,0.797628,0.862765
CBL+CNN1,0.940645,0.923497,0.965331
CBL+PTPN12,0.951617,0.933031,0.968185
CBL+PTPN9,0.944429,0.917944,0.965699
CBL+TGFBR2,0.924687,0.923483,0.959011
CBL+UBASH3A,0.870321,0.791652,0.911030
CBL+UBASH3B,0.955661,0.921149,0.970158
CDKN1B+CDKN1A,0.940059,0.940995,0.959211
CDKN1C+CDKN1A,0.936078,0.941738,0.955376
CDKN1C+CDKN1B,0.926919,0.926525,0.946483
CEBPB+CEBPA,0.964681,0.961233,0.975951
CEBPB+MAPK1,0.961330,0.957000,0.969851
CEBPB+OSR2,0.954409,0.957249,0.966098
CEBPB+PTPN12,0.855609,0.842755,0.887081
CEBPE+CEBPA,0.980376,0.978155,0.983568
CEBPE+CEBPB,0.950084,0.947362,0.973059
CEBPE+CNN1,0.848177,0.862553,0.872746
CEBPE+KLF1,0.809940,0.712171,0.906939
CEBPE+PTPN12,0.857476,0.854783,0.874088
CEBPE+RUNX1T1,0.951042,0.953475,0.962548
CEBPE+SPI1,0.930178,0.951975,0.973447
CNN1+MAPK1,0.765233,0.850004,0.922669
CNN1+UBASH3A,0.900175,0.879252,0.952604
DUSP9+ETS2,0.872233,0.879225,0.972652
DUSP9+IGDCC3,0.962134,0.966476,0.974986
DUSP9+KLF1,0.913855,0.951288,0.965148
DUSP9+MAPK1,0.853695,0.815613,0.857716
DUSP9+PRTG,0.965167,0.969221,0.974854
DUSP9+SNAI1,0.837283,0.846938,0.945757
ETS2+CEBPE,0.957401,0.956149,0.969005
ETS2+CNN1,0.874357,0.913452,0.927171
ETS2+IGDCC3,0.832355,0.844205,0.903936
ETS2+IKZF3,0.962311,0.951020,0.974954
ETS2+MAP7D1,0.849145,0.902363,0.937980
ETS2+MAPK1,0.933724,0.955331,0.970202
ETS2+PRTG,0.874826,0.884357,0.938254
FEV+CBFA2T3,0.859974,0.850532,0.915824
FEV+ISL2,0.944926,0.923341,0.961118
FEV+MAP7D1,0.938188,0.926812,0.962499
FOSB+CEBPB,0.909656,0.909145,0.965144
FOSB+CEBPE,0.927115,0.947661,0.978646
FOSB+IKZF3,0.940661,0.932498,0.948612
FOSB+OSR2,0.907055,0.939177,0.963438
FOSB+PTPN12,0.777954,0.767643,0.871536
FOSB+UBASH3B,0.819854,0.870050,0.890209
FOXA1+FOXF1,0.917151,0.858057,0.950843
FOXA1+FOXL2,0.929140,0.893196,0.941313
FOXA1+HOXB9,0.928612,0.909976,0.951961
FOXA3+FOXA1,0.919973,0.926225,0.946030
FOXA3+FOXF1,0.918260,0.885089,0.933357
FOXA3+FOXL2,0.906985,0.878560,0.930231
FOXA3+HOXB9,0.922730,0.914553,0.945700
FOXF1+FOXL2,0.916564,0.882065,0.950611
FOXF1+HOXB9,0.920224,0.894129,0.942804
FOXL2+HOXB9,0.925579,0.912204,0.937801
FOXL2+MEIS1,0.925301,0.911588,0.949684
IGDCC3+MAPK1,0.829967,0.813796,0.847010
IGDCC3+PRTG,0.929533,0.929272,0.949745
IGDCC3+ZBTB25,0.933080,0.939654,0.967031
IRF1+SET,0.903331,0.929218,0.934747
JUN+CEBPA,0.949443,0.947098,0.969648
JUN+CEBPB,0.917370,0.912207,0.930980
KIF18B+KIF2C,0.617592,0.657818,0.711746
KLF1+BAK1,0.933563,0.960954,0.970635
KLF1+CEBPA,0.948270,0.944694,0.982516
KLF1+CLDN6,0.906504,0.923036,0.955689
KLF1+COL2A1,0.849436,0.838987,0.899346
KLF1+FOXA1,0.881944,0.849830,0.946879
KLF1+MAP2K6,0.908680,0.935858,0.965291
KLF1+TGFBR2,0.951166,0.952263,0.971316
LHX1+ELMSAN1,0.894210,0.914812,0.941215
LYL1+CEBPB,0.816391,0.849925,0.883561
LYL1+IER5L,0.863701,0.926910,0.961185
MAP2K3+ELMSAN1,0.883432,0.906205,0.945878
MAP2K3+IKZF3,0.941979,0.948723,0.957114
MAP2K3+MAP2K6,0.893361,0.929320,0.941083
MAP2K3+SLC38A2,0.863301,0.883847,0.916457
MAP2K6+ELMSAN1,0.870786,0.887106,0.908945
MAP2K6+IKZF3,0.952407,0.958902,0.967409
MAP2K6+SPI1,0.826946,0.869674,0.892302
MAPK1+IKZF3,0.929911,0.919760,0.942198
MAPK1+PRTG,0.819707,0.807718,0.847433
MAPK1+TGFBR2,0.953190,0.938681,0.962197
PLK4+STIL,0.780977,0.725130,0.867217
POU3F2+CBFA2T3,0.885608,0.872480,0.928955
POU3F2+FOXL2,0.935850,0.912111,0.955842
PRDM1+CBFA2T3,0.901071,0.879350,0.934009
PTPN12+OSR2,0.727974,0.754292,0.810843
PTPN12+PTPN9,0.943937,0.918792,0.968764
PTPN12+SNAI1,0.822976,0.849262,0.873068
PTPN12+UBASH3A,0.938884,0.880258,0.972099
PTPN12+ZBTB25,0.956040,0.938362,0.973378
RHOXF2BB+SET,0.920740,0.919749,0.929370
RHOXF2BB+ZBTB25,0.928652,0.945567,0.966340
SAMD1+PTPN12,0.940357,0.937563,0.967149
SAMD1+TGFBR2,0.863023,0.869348,0.910028
SAMD1+UBASH3B,0.947128,0.944804,0.968374
SAMD1+ZBTB1,0.950833,0.955029,0.964341
SET+CEBPE,0.843652,0.820094,0.867374
SET+KLF1,0.842774,0.864485,0.949032
SGK1+S1PR2,0.907616,0.906815,0.966748
SGK1+TBX2,0.947092,0.959888,0.971503
SGK1+TBX3,0.954599,0.954832,0.972394
SNAI1+DLX2,0.859342,0.871154,0.923416
SNAI1+UBASH3B,0.868302,0.893231,0.920770
TBX3+TBX2,0.965849,0.970745,0.972533
TGFBR2+C19orf26,0.834679,0.836917,0.940055
TGFBR2+ETS2,0.869592,0.875717,0.900734
TGFBR2+IGDCC3,0.922243,0.928608,0.961848
TGFBR2+PRTG,0.931860,0.942245,0.967357
TMSB4X+BAK1,0.836199,0.916182,0.933017
UBASH3B+CNN1,0.956525,0.948494,0.973279
UBASH3B+OSR2,0.776598,0.783323,0.871816
UBASH3B+PTPN12,0.951880,0.931143,0.970574
UBASH3B+PTPN9,0.948358,0.931125,0.970317
UBASH3B+UBASH3A,0.925939,0.914466,0.965350
