target,guide,donor,context,n_cells,guide_median_supplied_activation_score,ntc_baseline_median_of_guide_medians,supplied_activation_score_delta,support_flag_lt_20_cells,generator_available,generator_admitted
ATXN7L3,ATXN7L3_1_CRISPRi,A,Resting-Teff,171,-288.47154416072698,-285.17266687930498,-3.2988772814219942,false,true,true
ATXN7L3,ATXN7L3_2_CRISPRi,A,Resting-Teff,255,-266.81301449466503,-285.17266687930498,18.359652384639958,false,true,true
BACH2,BACH2_1_CRISPRi,A,Resting-Teff,272,-280.96287657317748,-285.17266687930498,4.2097903061275019,false,true,false
BACH2,BACH2_2_CRISPRi,A,Resting-Teff,50,-187.2140703337455,-285.17266687930498,97.958596545559487,false,true,false
BATF,BATF_1_CRISPRi,A,Resting-Teff,183,-255.34168147514799,-285.17266687930498,29.830985404156991,false,true,true
BATF,BATF_2_CRISPRi,A,Resting-Teff,152,-271.7818347865325,-285.17266687930498,13.390832092772484,false,true,true
BPTF,BPTF_1_CRISPRi,A,Resting-Teff,216,-294.955656752246,-285.17266687930498,-9.7829898729410161,false,true,true
BPTF,BPTF_2_CRISPRi,A,Resting-Teff,221,-297.40171322653401,-285.17266687930498,-12.22904634722903,false,true,true
CBFB,CBFB_1_CRISPRi,A,Resting-Teff,258,-273.77628896747001,-285.17266687930498,11.396377911834975,false,true,true
CBFB,CBFB_2_CRISPRi,A,Resting-Teff,218,-264.73977203818197,-285.17266687930498,20.432894841123016,false,true,true
DNMT1,DNMT1_1_CRISPRi,A,Resting-Teff,214,-257.4913204219875,-285.17266687930498,27.681346457317488,false,false,false
DNMT1,DNMT1_2_CRISPRi,A,Resting-Teff,223,-230.126179685425,-285.17266687930498,55.046487193879983,false,false,false
ETS1,ETS1_1_CRISPRi,A,Resting-Teff,78,-212.24389930044299,-285.17266687930498,72.928767578861994,false,true,false
ETS1,ETS1_2_CRISPRi,A,Resting-Teff,61,-212.25585378396099,-285.17266687930498,72.916813095343997,false,true,false
FOXO1,FOXO1_1_CRISPRi,A,Resting-Teff,78,-169.64074666274399,-285.17266687930498,115.53192021656099,false,true,true
